county_state,county,state_id,state_name
Montgomery_Missouri,Montgomery,MO,Missouri
Blanco_Texas,Blanco,TX,Texas
Teton_Idaho,Teton,ID,Idaho
Sussex_Virginia,Sussex,VA,Virginia
Cherokee_Iowa,Cherokee,IA,Iowa
Jefferson Davis_Mississippi,Jefferson Davis,MS,Mississippi
Noble_Oklahoma,Noble,OK,Oklahoma
Madison_Louisiana,Madison,LA,Louisiana
Rio Grande_Colorado,Rio Grande,CO,Colorado
Morrow_Oregon,Morrow,OR,Oregon
Juab_Utah,Juab,UT,Utah
Cottonwood_Minnesota,Cottonwood,MN,Minnesota
Duval_Texas,Duval,TX,Texas
Washita_Oklahoma,Washita,OK,Oklahoma
Fergus_Montana,Fergus,MT,Montana
Pulaski_Georgia,Pulaski,GA,Georgia
Bacon_Georgia,Bacon,GA,Georgia
Richland_Montana,Richland,MT,Montana
Louisa_Iowa,Louisa,IA,Iowa
Roosevelt_Montana,Roosevelt,MT,Montana
Nantucket_Massachusetts,Nantucket,MA,Massachusetts
Iron_Michigan,Iron,MI,Michigan
Pushmataha_Oklahoma,Pushmataha,OK,Oklahoma
Johnston_Oklahoma,Johnston,OK,Oklahoma
Pope_Minnesota,Pope,MN,Minnesota
West Carroll_Louisiana,West Carroll,LA,Louisiana
Sierra_New Mexico,Sierra,NM,New Mexico
Alleghany_North Carolina,Alleghany,NC,North Carolina
Essex_Virginia,Essex,VA,Virginia
Green_Kentucky,Green,KY,Kentucky
Watonwan_Minnesota,Watonwan,MN,Minnesota
Box Butte_Nebraska,Box Butte,NE,Nebraska
Clay_North Carolina,Clay,NC,North Carolina
Bradley_Arkansas,Bradley,AR,Arkansas
Cumberland_Illinois,Cumberland,IL,Illinois
Custer_Nebraska,Custer,NE,Nebraska
Candler_Georgia,Candler,GA,Georgia
Hancock_Iowa,Hancock,IA,Iowa
Owen_Kentucky,Owen,KY,Kentucky
Mackinac_Michigan,Mackinac,MI,Michigan
Red Willow_Nebraska,Red Willow,NE,Nebraska
Coosa_Alabama,Coosa,AL,Alabama
Pike_Arkansas,Pike,AR,Arkansas
Walsh_North Dakota,Walsh,ND,North Dakota
Lancaster_Virginia,Lancaster,VA,Virginia
Franklin_Texas,Franklin,TX,Texas
Colfax_Nebraska,Colfax,NE,Nebraska
Valley_Idaho,Valley,ID,Idaho
Barnes_North Dakota,Barnes,ND,North Dakota
Noxubee_Mississippi,Noxubee,MS,Mississippi
Evans_Georgia,Evans,GA,Georgia
Switzerland_Indiana,Switzerland,IN,Indiana
Wilcox_Alabama,Wilcox,AL,Alabama
Middlesex_Virginia,Middlesex,VA,Virginia
Carroll_Kentucky,Carroll,KY,Kentucky
Guthrie_Iowa,Guthrie,IA,Iowa
Oregon_Missouri,Oregon,MO,Missouri
Monroe_Kentucky,Monroe,KY,Kentucky
Chicot_Arkansas,Chicot,AR,Arkansas
Mitchell_Iowa,Mitchell,IA,Iowa
Carbon_Montana,Carbon,MT,Montana
Lincoln_Washington,Lincoln,WA,Washington
Crawford_Indiana,Crawford,IN,Indiana
Lake_Minnesota,Lake,MN,Minnesota
Chattahoochee_Georgia,Chattahoochee,GA,Georgia
Camden_North Carolina,Camden,NC,North Carolina
Winnebago_Iowa,Winnebago,IA,Iowa
Sabine_Texas,Sabine,TX,Texas
Dimmit_Texas,Dimmit,TX,Texas
Clay_Texas,Clay,TX,Texas
Lanier_Georgia,Lanier,GA,Georgia
Scott_Arkansas,Scott,AR,Arkansas
Perry_Arkansas,Perry,AR,Arkansas
Alcona_Michigan,Alcona,MI,Michigan
Latimer_Oklahoma,Latimer,OK,Oklahoma
Nowata_Oklahoma,Nowata,OK,Oklahoma
Mountrail_North Dakota,Mountrail,ND,North Dakota
Early_Georgia,Early,GA,Georgia
St. Helena_Louisiana,St. Helena,LA,Louisiana
Roberts_South Dakota,Roberts,SD,South Dakota
Leslie_Kentucky,Leslie,KY,Kentucky
Runnels_Texas,Runnels,TX,Texas
Bullock_Alabama,Bullock,AL,Alabama
Ralls_Missouri,Ralls,MO,Missouri
Trousdale_Tennessee,Trousdale,TN,Tennessee
Butte_South Dakota,Butte,SD,South Dakota
Martin_Indiana,Martin,IN,Indiana
Todd_South Dakota,Todd,SD,South Dakota
Clinton_Kentucky,Clinton,KY,Kentucky
Keokuk_Iowa,Keokuk,IA,Iowa
Holt_Nebraska,Holt,NE,Nebraska
Iron_Missouri,Iron,MO,Missouri
Franklin_Iowa,Franklin,IA,Iowa
Ochiltree_Texas,Ochiltree,TX,Texas
Nemaha_Kansas,Nemaha,KS,Kansas
Emery_Utah,Emery,UT,Utah
Lowndes_Alabama,Lowndes,AL,Alabama
Carroll_Mississippi,Carroll,MS,Mississippi
Montgomery_Mississippi,Montgomery,MS,Mississippi
Love_Oklahoma,Love,OK,Oklahoma
Howard_Missouri,Howard,MO,Missouri
Washington_Idaho,Washington,ID,Idaho
Montgomery_Iowa,Montgomery,IA,Iowa
Metcalfe_Kentucky,Metcalfe,KY,Kentucky
Marion_Texas,Marion,TX,Texas
Yuma_Colorado,Yuma,CO,Colorado
Caldwell_Louisiana,Caldwell,LA,Louisiana
Grundy_Missouri,Grundy,MO,Missouri
Nome_Alaska,Nome,AK,Alaska
Tunica_Mississippi,Tunica,MS,Mississippi
Lewis_Missouri,Lewis,MO,Missouri
Jackson_Minnesota,Jackson,MN,Minnesota
Kemper_Mississippi,Kemper,MS,Mississippi
Sublette_Wyoming,Sublette,WY,Wyoming
Ritchie_West Virginia,Ritchie,WV,West Virginia
Wilkes_Georgia,Wilkes,GA,Georgia
Cumberland_Virginia,Cumberland,VA,Virginia
Yellow Medicine_Minnesota,Yellow Medicine,MN,Minnesota
Sac_Iowa,Sac,IA,Iowa
North Slope_Alaska,North Slope,AK,Alaska
Stevens_Minnesota,Stevens,MN,Minnesota
Webster_Mississippi,Webster,MS,Mississippi
